ID,CLASS
ISIC_0068887,2
ISIC_0024546,2
ISIC_0015978,5
ISIC_0026828,2
ISIC_0026055,2
ISIC_0065743,1
ISIC_0028880,2
ISIC_0033438,2
ISIC_0056189,2
ISIC_0027583,1
ISIC_0000041,2
ISIC_0033111,2
ISIC_0057138,2
ISIC_0054629,2
ISIC_0031918,2
ISIC_0031165,2
ISIC_0010562,2
ISIC_0060643,1
ISIC_0027899,2
ISIC_0058392,2
ISIC_0030367,2
ISIC_0067584,2
ISIC_0067934,2
ISIC_0067149,2
ISIC_0024338,2
ISIC_0064658,2
ISIC_0014579,5
ISIC_0013124,2
ISIC_0054783,2
ISIC_0056290,2
ISIC_0013443,1
ISIC_0032044,1
ISIC_0032839,2
ISIC_0029481,2
ISIC_0071235,2
ISIC_0033246,2
ISIC_0072524,1
ISIC_0031755,1
ISIC_0065940,2
ISIC_0014863,1
ISIC_0056544,2
ISIC_0028430,2
ISIC_0058711,2
ISIC_0070284,2
ISIC_0013917,2
ISIC_0072870,2
ISIC_0062834,2
ISIC_0030519,2
ISIC_0070079,2
ISIC_0059074,2
ISIC_0065173,2
ISIC_0055732,1
ISIC_0058276,2
ISIC_0058625,2
ISIC_0057672,2
ISIC_0055361,1
ISIC_0072139,2
ISIC_0068299,2
ISIC_0014919,2
ISIC_0027849,2
ISIC_0029748,2
ISIC_0059469,2
ISIC_0033615,2
ISIC_0027287,1
ISIC_0032417,2
ISIC_0031661,2
ISIC_0062454,2
ISIC_0070103,2
ISIC_0061345,2
ISIC_0067280,1
ISIC_0013577,2
ISIC_0066718,2
ISIC_0027807,1
ISIC_0028850,2
ISIC_0056159,5
ISIC_0065009,2
ISIC_0060210,2
ISIC_0033858,2
ISIC_0069382,5
ISIC_0007528,2
ISIC_0025359,2
ISIC_0033542,2
ISIC_0031051,1
ISIC_0067199,2
ISIC_0059217,2
ISIC_0056240,2
ISIC_0071782,2
ISIC_0066401,1
ISIC_0070580,1
ISIC_0027363,2
ISIC_0029451,2
ISIC_0059770,2
ISIC_0026406,1
ISIC_0067364,2
ISIC_0030587,1
ISIC_0025317,2
ISIC_0031785,2
ISIC_0033296,2
ISIC_0064475,2
ISIC_0070956,2
ISIC_0055987,2
ISIC_0054462,5
ISIC_0067532,2
ISIC_0028878,1
ISIC_0057373,1
ISIC_0027052,2
ISIC_0058324,2
ISIC_0025541,2
ISIC_0029760,2
ISIC_0065546,1
ISIC_0025026,2
ISIC_0009918,1
ISIC_0030951,2
ISIC_0029887,2
ISIC_0053558,2
ISIC_0070165,5
ISIC_0027786,2
ISIC_0027861,1
ISIC_0028836,1
ISIC_0014931,2
ISIC_0067866,2
ISIC_0025815,2
ISIC_0025068,2
ISIC_0032471,2
ISIC_0071600,2
ISIC_0012274,1
ISIC_0064090,2
ISIC_0058197,1
ISIC_0069119,2
ISIC_0029479,2
ISIC_0059758,1
ISIC_0000474,2
ISIC_0030235,2
ISIC_0054586,2
ISIC_0061513,2
ISIC_0060276,2
ISIC_0000113,2
ISIC_0070232,1
ISIC_0031550,2
ISIC_0030752,2
ISIC_0058840,2
ISIC_0057817,2
ISIC_0065338,2
ISIC_0055050,2
ISIC_0069157,1
ISIC_0070081,2
ISIC_0058514,2
ISIC_0034137,2
ISIC_0067498,2
ISIC_0061847,2
ISIC_0031284,2
ISIC_0033797,2
ISIC_0065376,5
ISIC_0032595,2
ISIC_0030086,2
ISIC_0024414,2
ISIC_0054735,2
ISIC_0065725,2
ISIC_0028701,2
ISIC_0025245,2
ISIC_0033944,2
ISIC_0000069,2
ISIC_0062185,1
ISIC_0031699,5
ISIC_0057439,5
ISIC_0032612,2
ISIC_0013215,2
ISIC_0025591,2
ISIC_0033410,2
ISIC_0070661,1
ISIC_0030666,2
ISIC_0064794,2
ISIC_0033177,2
ISIC_0058974,2
ISIC_0057593,2
ISIC_0031733,2
ISIC_0068385,1
ISIC_0063704,2
ISIC_0030531,2
ISIC_0014805,2
ISIC_0027128,2
ISIC_0068905,2
ISIC_0068178,2
ISIC_0057889,2
ISIC_0033747,2
ISIC_0072858,2
ISIC_0072025,2
ISIC_0030056,2
ISIC_0061770,2
ISIC_0032545,2
ISIC_0062548,2
ISIC_0070862,2
ISIC_0066604,2
ISIC_0025475,2
ISIC_0070785,1
ISIC_0055233,2
ISIC_0016042,2
ISIC_0069334,2
ISIC_0031580,1
ISIC_0033093,2
ISIC_0027401,2
ISIC_0026603,2
ISIC_0068136,2
ISIC_0033709,2
ISIC_0026199,2
ISIC_0013971,2
ISIC_0030018,2
ISIC_0028087,2
ISIC_0060677,2
ISIC_0033442,2
ISIC_0065739,2
ISIC_0024826,2
ISIC_0025259,2
ISIC_0060990,1
ISIC_0061112,2
ISIC_0055385,2
ISIC_0012522,2
ISIC_0031436,2
ISIC_0033958,2
ISIC_0033125,2
ISIC_0053769,5
ISIC_0067264,2
ISIC_0034051,2
ISIC_0026506,1
ISIC_0058472,2
ISIC_0055136,2
ISIC_0031685,2
ISIC_0067703,1
ISIC_0024572,2
ISIC_0071118,2
ISIC_0072609,2
ISIC_0055706,2
ISIC_0025427,2
ISIC_0009564,2
ISIC_0027949,2
ISIC_0026336,2
ISIC_0024625,2
ISIC_0070830,2
ISIC_0068399,2
ISIC_0066331,2
ISIC_0025140,2
ISIC_0055261,2
ISIC_0000191,2
ISIC_0014503,2
ISIC_0059527,2
ISIC_0068919,1
ISIC_0066618,2
ISIC_0031886,1
ISIC_0055748,1
ISIC_0056824,5
ISIC_0067380,2
ISIC_0030563,2
ISIC_0011164,1
ISIC_0060520,2
ISIC_0031206,1
ISIC_0062033,2
ISIC_0024496,1
ISIC_0063231,2
ISIC_0030879,2
ISIC_0032517,2
ISIC_0014963,2
ISIC_0028864,2
ISIC_0032144,2
ISIC_0071335,5
ISIC_0063662,2
ISIC_0072424,5
ISIC_0033346,2
ISIC_0010252,2
ISIC_0000216,2
ISIC_0032423,2
ISIC_0054119,2
ISIC_0009904,2
ISIC_0030383,2
ISIC_0026202,2
ISIC_0010586,2
ISIC_0033492,1
ISIC_0012095,2
ISIC_0031181,2
ISIC_0025513,2
ISIC_0030419,2
ISIC_0000258,2
ISIC_0053810,2
ISIC_0033308,2
ISIC_0060940,1
ISIC_0025289,1
ISIC_0013817,2
ISIC_0034232,1
ISIC_0026765,1
ISIC_0056444,2
ISIC_0025074,2
ISIC_0028980,2
ISIC_0063861,2
ISIC_0073058,2
ISIC_0069978,2
ISIC_0069105,2
ISIC_0057511,1
ISIC_0058546,2
ISIC_0027630,2
ISIC_0028300,2
ISIC_0026155,2
ISIC_0029698,2
ISIC_0000426,2
ISIC_0072214,2
ISIC_0073016,2
ISIC_0030267,1
ISIC_0054729,2
ISIC_0029931,2
ISIC_0000141,2
ISIC_0010105,2
ISIC_0012416,2
ISIC_0024392,2
ISIC_0072125,2
ISIC_0033647,2
ISIC_0029080,1
ISIC_0030156,1
ISIC_0009962,1
ISIC_0028518,2
ISIC_0061997,2
ISIC_0014178,2
ISIC_0027855,2
ISIC_0033320,2
ISIC_0056691,2
ISIC_0071353,5
ISIC_0030431,2
ISIC_0058990,2
ISIC_0025788,2
ISIC_0068036,2
ISIC_0067061,1
ISIC_0026703,2
ISIC_0029754,2
ISIC_0058310,2
ISIC_0025575,2
ISIC_0054456,1
ISIC_0029233,2
ISIC_0026264,2
ISIC_0065342,2
ISIC_0029164,1
ISIC_0069404,2
ISIC_0066453,2
ISIC_0028366,1
ISIC_0033039,2
ISIC_0070248,2
ISIC_0029399,2
ISIC_0063807,2
ISIC_0069163,2
ISIC_0055064,1
ISIC_0013995,2
ISIC_0029957,2
ISIC_0013672,2
ISIC_0071004,1
ISIC_0011361,2
ISIC_0064694,2
ISIC_0073070,2
ISIC_0030201,2
ISIC_0063849,5
ISIC_0026380,2
ISIC_0033510,2
ISIC_0027182,1
ISIC_0025491,2
ISIC_0057539,2
ISIC_0031799,2
ISIC_0058940,5
ISIC_0012544,5
ISIC_0031450,1
ISIC_0033143,2
ISIC_0032341,2
ISIC_0029784,2
ISIC_0063467,1
ISIC_0031137,1
ISIC_0057397,2
ISIC_0030335,2
ISIC_0063100,1
ISIC_0024840,2
ISIC_0027205,2
ISIC_0058173,2
ISIC_0012290,1
ISIC_0025716,2
ISIC_0010019,1
ISIC_0060338,2
ISIC_0033970,2
ISIC_0061947,1
ISIC_0064289,2
ISIC_0012810,2
ISIC_0031179,2
ISIC_0067598,2
ISIC_0032668,2
ISIC_0057443,2
ISIC_0068255,2
ISIC_0034037,2
ISIC_0029537,2
ISIC_0029987,2
ISIC_0072822,2
ISIC_0054878,1
ISIC_0069300,2
ISIC_0058743,2
ISIC_0015200,2
ISIC_0029307,2
ISIC_0056071,2
ISIC_0067432,2
ISIC_0066630,2
ISIC_0069667,2
ISIC_0058224,2
ISIC_0030062,2
ISIC_0059295,2
ISIC_0033773,2
ISIC_0070502,2
ISIC_0031260,2
ISIC_0012374,2
ISIC_0033894,2
ISIC_0055249,1
ISIC_0025915,2
ISIC_0030505,2
ISIC_0026484,2
ISIC_0011102,2
ISIC_0070065,2
ISIC_0033214,2
ISIC_0072576,2
ISIC_0033377,2
ISIC_0059691,2
ISIC_0065796,2
ISIC_0012897,1
ISIC_0067805,1
ISIC_0025791,2
ISIC_0027282,1
ISIC_0024593,2
ISIC_0003051,2
